order_item_id,order_id,order_date,customer_id,channel_id,product_id,province_id,name,quantity,unit_price,discount_amount,line_total,total_amount
5000000000,1000000000,2024-11-26 07:50:47,356,1,2,1,Buenos Aires,2,15000.0,0.0,30000.0,63636.0
5000000001,1000000000,2024-11-26 07:50:47,356,1,1,1,Buenos Aires,2,12000.0,2400.0,21600.0,63636.0
5000000002,1000000001,2024-01-31 01:00:04,601,1,1,1,Buenos Aires,1,12000.0,240.0,11760.0,78146.4
5000000003,1000000001,2024-01-31 01:00:04,601,1,2,1,Buenos Aires,2,15000.0,600.0,29400.0,78146.4
5000000004,1000000001,2024-01-31 01:00:04,601,1,1,1,Buenos Aires,2,12600.0,2520.0,22680.0,78146.4
5000000005,1000000002,2025-02-26 19:39:44,1234,1,1,1,Buenos Aires,1,12000.0,240.0,11760.0,32064.6
5000000006,1000000002,2025-02-26 19:39:44,1234,1,2,1,Buenos Aires,1,15000.0,1500.0,13500.0,32064.6
5000000007,1000000003,2025-03-01 17:35:36,156,1,1,1,Buenos Aires,1,12000.0,1200.0,10800.0,30855.0
5000000008,1000000003,2025-03-01 17:35:36,156,1,2,1,Buenos Aires,1,15000.0,300.0,14700.0,30855.0
5000000009,1000000004,2024-03-30 02:46:36,616,2,2,4,Mendoza,2,15750.0,1575.0,29925.0,53451.75
5000000010,1000000004,2024-03-30 02:46:36,616,2,2,4,Mendoza,1,15000.0,750.0,14250.0,53451.75
5000000011,1000000005,2024-03-12 20:54:35,614,2,1,2,Córdoba,2,12000.0,0.0,24000.0,29040.0
5000000012,1000000006,2025-07-15 22:55:56,188,1,2,2,Córdoba,1,15000.0,750.0,14250.0,18442.5
5000000013,1000000007,2024-11-11 20:15:00,17,1,2,1,Buenos Aires,1,15000.0,1500.0,13500.0,17535.0
5000000014,1000000008,2024-08-25 03:29:28,1148,1,1,1,Buenos Aires,3,12000.0,0.0,36000.0,109011.0
5000000015,1000000008,2024-08-25 03:29:28,1148,1,2,1,Buenos Aires,3,15000.0,4500.0,40500.0,109011.0
5000000016,1000000008,2024-08-25 03:29:28,1148,1,1,1,Buenos Aires,1,12600.0,0.0,12600.0,109011.0
5000000017,1000000009,2024-03-30 10:34:46,1037,1,2,3,Santa Fe,1,13500.0,675.0,12825.0,16718.25
5000000018,1000000010,2024-03-13 02:19:39,1336,2,2,1,Buenos Aires,1,15000.0,300.0,14700.0,17787.0
5000000019,1000000011,2025-06-17 03:46:29,1239,2,2,4,Mendoza,1,15000.0,300.0,14700.0,41309.4
5000000020,1000000011,2025-06-17 03:46:29,1239,2,1,4,Mendoza,2,10800.0,2160.0,19440.0,41309.4
5000000021,1000000012,2024-08-09 14:38:29,1426,2,1,3,Santa Fe,3,12000.0,720.0,35280.0,42688.8
5000000022,1000000013,2025-03-23 11:26:14,862,2,2,1,Buenos Aires,3,15750.0,2362.5,44887.5,123283.88
5000000023,1000000013,2025-03-23 11:26:14,862,2,1,1,Buenos Aires,3,12000.0,1800.0,34200.0,123283.88
5000000024,1000000013,2025-03-23 11:26:14,862,2,1,1,Buenos Aires,2,12000.0,1200.0,22800.0,123283.88
5000000025,1000000014,2025-08-18 12:46:12,181,1,1,1,Buenos Aires,1,12000.0,240.0,11760.0,15129.6
5000000026,1000000015,2024-09-15 12:43:40,700,1,1,1,Buenos Aires,2,12000.0,480.0,23520.0,29659.2
5000000027,1000000016,2025-08-27 22:46:32,475,1,1,1,Buenos Aires,2,12600.0,2520.0,22680.0,28642.8
5000000028,1000000017,2025-02-19 14:36:04,753,2,2,2,Córdoba,2,15750.0,630.0,30870.0,80912.7
5000000029,1000000017,2025-02-19 14:36:04,753,2,1,2,Córdoba,3,12000.0,0.0,36000.0,80912.7
5000000030,1000000018,2024-07-14 15:20:18,1151,1,2,1,Buenos Aires,1,13500.0,270.0,13230.0,100107.9
5000000031,1000000018,2024-07-14 15:20:18,1151,1,1,1,Buenos Aires,2,13200.0,2640.0,23760.0,100107.9
5000000032,1000000018,2024-07-14 15:20:18,1151,1,2,1,Buenos Aires,3,15000.0,0.0,45000.0,100107.9
5000000033,1000000019,2025-04-21 04:12:18,793,1,1,1,Buenos Aires,3,12600.0,756.0,37044.0,46023.24
5000000034,1000000020,2024-05-06 01:36:24,866,1,2,1,Buenos Aires,3,16500.0,0.0,49500.0,59895.0
5000000035,1000000021,2025-09-23 22:05:51,1110,1,1,1,Buenos Aires,2,12000.0,480.0,23520.0,29659.2
5000000036,1000000022,2024-03-31 02:16:34,854,2,1,1,Buenos Aires,2,12000.0,0.0,24000.0,29040.0
5000000037,1000000023,2025-07-05 19:42:57,379,2,2,3,Santa Fe,2,15000.0,600.0,29400.0,82764.0
5000000038,1000000023,2025-07-05 19:42:57,379,2,1,3,Santa Fe,1,12000.0,0.0,12000.0,82764.0
5000000039,1000000023,2025-07-05 19:42:57,379,2,2,3,Santa Fe,2,15000.0,3000.0,27000.0,82764.0
5000000040,1000000024,2025-03-02 15:57:05,441,2,1,2,Córdoba,1,12000.0,240.0,11760.0,14229.6
5000000041,1000000025,2025-08-26 06:57:45,125,1,2,2,Córdoba,3,15750.0,2362.5,44887.5,86005.88
5000000042,1000000025,2025-08-26 06:57:45,125,1,1,2,Córdoba,2,12600.0,0.0,25200.0,86005.88
5000000043,1000000026,2024-12-12 23:59:48,1201,1,2,1,Buenos Aires,1,15000.0,1500.0,13500.0,17535.0
